endpoint,model,subset_key,n_modalities,mean_weighted_f1,std_weighted_f1,mean_auc,std_auc,mean_acc,std_acc,mean_threshold,n_folds
rec,xgb,clinical+semantic+temporal+spatial,4,0.9830124103185158,0.0185101223951854,0.9931237988841677,0.010611952252809398,0.9832472748135398,0.018168620583772322,0.354,5
rec,xgb,semantic+temporal+pathological+spatial,4,0.7782273417739337,0.03413757910396716,0.695253168064228,0.05663082974492806,0.7995123350545038,0.019665831135564436,0.33799999999999997,5
rec,xgb,clinical+pathological+spatial,3,0.9853705039904959,0.016071425088354466,0.9929677508018522,0.011228630096089081,0.9856282271944922,0.01567089701981491,0.35,5
rec,xgb,clinical+semantic+temporal,3,0.9853705039904959,0.016071425088354466,0.9938894097880272,0.009293169532164193,0.9856282271944922,0.01567089701981491,0.372,5
rec,xgb,clinical+semantic+pathological,3,0.9830124103185158,0.0185101223951854,0.9935870666285412,0.009406691862711558,0.9832472748135398,0.018168620583772322,0.338,5
rec,xgb,clinical+semantic+spatial,3,0.9830124103185158,0.0185101223951854,0.9929726273044246,0.010656312981680797,0.9832472748135398,0.018168620583772322,0.34800000000000003,5
rec,xgb,clinical+temporal+pathological,3,0.9830124103185158,0.0185101223951854,0.9937406764595703,0.00909988805776428,0.9832472748135398,0.018168620583772322,0.332,5
rec,xgb,clinical+temporal+spatial,3,0.9830124103185158,0.0185101223951854,0.9929701890531384,0.010932944359300529,0.9832472748135398,0.018168620583772322,0.36000000000000004,5
rec,xgb,temporal+pathological+spatial,3,0.7760068124973524,0.034144258807253934,0.6786695127708953,0.05411119400681954,0.7899598393574297,0.027542946762563473,0.29,5
rec,xgb,semantic+pathological+spatial,3,0.7699190786859548,0.03892132387055617,0.6839187353012237,0.06121493468859334,0.7899024670109007,0.028173743582312394,0.32,5
rec,xgb,semantic+temporal+pathological,3,0.7519979745957774,0.05181234908028292,0.6406968522175895,0.07768760785971938,0.7851692484222605,0.03596132478520592,0.43200000000000005,5
rec,xgb,semantic+temporal+spatial,3,0.6833660717427107,0.01194324039700523,0.5115931090585468,0.026887161518184655,0.7327596098680436,0.037688408197293896,0.352,5
rec,xgb,clinical+semantic,2,0.9853705039904959,0.016071425088354466,0.9938894097880272,0.009293169532164193,0.9856282271944922,0.01567089701981491,0.368,5
rec,xgb,clinical+pathological,2,0.9830124103185158,0.0185101223951854,0.9937406764595703,0.00909988805776428,0.9832472748135398,0.018168620583772322,0.332,5
