endpoint,model,subset_key,subset_modalities,n_modalities,fold,threshold,weighted_f1,auc,acc,n_train,n_val
rec,et,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,0,0.23,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,0,0.06,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,0,0.23,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,0,0.13,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,0,0.05,1.0,1.0,1.0,335,84
rec,et,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,1,0.66,0.9633273703041146,0.9924414210128496,0.9642857142857144,335,84
rec,lgbm,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,1,0.16,0.9639907816401,0.9871504157218444,0.9642857142857144,335,84
rec,rf,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,1,0.67,0.9633273703041146,0.9924414210128496,0.9642857142857144,335,84
rec,voting,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,1,0.49,0.9639907816401,0.9931972789115646,0.9642857142857144,335,84
rec,xgb,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,1,0.7100000000000001,0.9757812499999998,0.9916855631141344,0.9761904761904762,335,84
rec,et,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,2,0.36,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,2,0.03,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,2,0.31,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,2,0.2,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,2,0.22,1.0,1.0,1.0,335,84
rec,et,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,3,0.33,0.9761904761904762,0.9941348973607038,0.9761904761904762,335,84
rec,lgbm,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,3,0.01,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,rf,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,3,0.33,0.9761904761904762,0.9970674486803518,0.9761904761904762,335,84
rec,voting,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,3,0.76,0.9880044296788482,0.997800586510264,0.988095238095238,335,84
rec,xgb,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,3,0.03,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,et,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,4,0.49,0.9635592124595944,0.9915514592933948,0.963855421686747,336,83
rec,lgbm,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,4,0.99,0.9628921500660425,0.9807987711213516,0.963855421686747,336,83
rec,rf,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,4,0.55,0.9635592124595944,0.9900153609831028,0.963855421686747,336,83
rec,voting,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,4,0.79,0.9628921500660425,0.989247311827957,0.963855421686747,336,83
rec,xgb,clinical+semantic+pathological+spatial,clinical+semantic+pathological+spatial,4,4,0.77,0.9628921500660425,0.9746543778801844,0.963855421686747,336,83
rec,et,clinical+semantic+spatial,clinical+semantic+spatial,3,0,0.25,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic+spatial,clinical+semantic+spatial,3,0,0.01,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic+spatial,clinical+semantic+spatial,3,0,0.26,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic+spatial,clinical+semantic+spatial,3,0,0.13,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic+spatial,clinical+semantic+spatial,3,0,0.04,1.0,1.0,1.0,335,84
rec,et,clinical+semantic+spatial,clinical+semantic+spatial,3,1,0.23,0.9523809523809524,0.9886621315192744,0.9523809523809524,335,84
rec,lgbm,clinical+semantic+spatial,clinical+semantic+spatial,3,1,0.4,0.9639907816401,0.9901738473167044,0.9642857142857144,335,84
rec,rf,clinical+semantic+spatial,clinical+semantic+spatial,3,1,0.67,0.9633273703041146,0.9916855631141346,0.9642857142857144,335,84
rec,voting,clinical+semantic+spatial,clinical+semantic+spatial,3,1,0.5700000000000001,0.9639907816401,0.9916855631141346,0.9642857142857144,335,84
rec,xgb,clinical+semantic+spatial,clinical+semantic+spatial,3,1,0.63,0.9639907816401,0.9901738473167044,0.9642857142857144,335,84
rec,et,clinical+semantic+spatial,clinical+semantic+spatial,3,2,0.36,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic+spatial,clinical+semantic+spatial,3,2,0.03,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic+spatial,clinical+semantic+spatial,3,2,0.33,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic+spatial,clinical+semantic+spatial,3,2,0.21,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic+spatial,clinical+semantic+spatial,3,2,0.25,1.0,1.0,1.0,335,84
rec,et,clinical+semantic+spatial,clinical+semantic+spatial,3,3,0.31,0.9761904761904762,0.9948680351906158,0.9761904761904762,335,84
rec,lgbm,clinical+semantic+spatial,clinical+semantic+spatial,3,3,0.8,0.9880044296788482,0.999266862170088,0.988095238095238,335,84
rec,rf,clinical+semantic+spatial,clinical+semantic+spatial,3,3,0.64,0.9880044296788482,0.998533724340176,0.988095238095238,335,84
rec,voting,clinical+semantic+spatial,clinical+semantic+spatial,3,3,0.73,0.9880044296788482,0.997800586510264,0.988095238095238,335,84
rec,xgb,clinical+semantic+spatial,clinical+semantic+spatial,3,3,0.03,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,et,clinical+semantic+spatial,clinical+semantic+spatial,3,4,0.47,0.9635592124595944,0.988479262672811,0.963855421686747,336,83
